Genotype,Root_length,Temp,Geno_temp
INO80oxein3,3.467842782,22,INO80oxein3_22
INO80oxein3,2.882739952,22,INO80oxein3_22
INO80oxein3,2.765087893,22,INO80oxein3_22
INO80oxein3,2.579817474,22,INO80oxein3_22
INO80oxein3,2.98404605,22,INO80oxein3_22
INO80oxein3,2.763645757,22,INO80oxein3_22
INO80oxein3,2.79690544,22,INO80oxein3_22
INO80oxein3,2.722389231,22,INO80oxein3_22
INO80oxein3,2.955070223,22,INO80oxein3_22
INO80oxein3,2.790784813,22,INO80oxein3_22
INO80oxein3,2.944796313,22,INO80oxein3_22
INO80oxein3,3.381886829,22,INO80oxein3_22
INO80oxein3,3.371248596,22,INO80oxein3_22
INO80oxein3,2.933380857,22,INO80oxein3_22
INO80oxein3,3.086175519,22,INO80oxein3_22
INO80oxlhp1,1.961090487,22,INO80oxlhp1_22
INO80oxlhp1,2.122310073,22,INO80oxlhp1_22
INO80oxlhp1,2.56433588,22,INO80oxlhp1_22
INO80oxlhp1,2.004971864,22,INO80oxlhp1_22
INO80oxlhp1,2.126584554,22,INO80oxlhp1_22
INO80oxlhp1,2.484183185,22,INO80oxlhp1_22
INO80oxlhp1,2.13263801,22,INO80oxlhp1_22
INO80oxlhp1,2.342828817,22,INO80oxlhp1_22
INO80oxlhp1,2.262944821,22,INO80oxlhp1_22
INO80oxlhp1,2.314809965,22,INO80oxlhp1_22
INO80oxlhp1,2.445638732,22,INO80oxlhp1_22
INO80oxlhp1,2.491521456,22,INO80oxlhp1_22
INO80oxlhp1,1.842788666,22,INO80oxlhp1_22
INO80oxlhp1,2.374726822,22,INO80oxlhp1_22
INO80oxlhp1,1.918938669,22,INO80oxlhp1_22
INO80oxlhp1,2.013619658,22,INO80oxlhp1_22
INO80oxlhp1,2.032891884,22,INO80oxlhp1_22
INO80oxlhp1,2.363138779,22,INO80oxlhp1_22
INO80oxlhp1,2.138790297,22,INO80oxlhp1_22
INO80oxlhp1,2.344237172,22,INO80oxlhp1_22
INO80oxlhp1,2.245973525,22,INO80oxlhp1_22
INO80oxlhp1,1.88340859,22,INO80oxlhp1_22
INO80oxlhp1,2.120432266,22,INO80oxlhp1_22
INO80oxlhp1,2.286964068,22,INO80oxlhp1_22
INO80oxlhp1,2.363904726,22,INO80oxlhp1_22
INO80oxlhp1,2.249088584,22,INO80oxlhp1_22
INO80oxlhp1,2.163967731,22,INO80oxlhp1_22
INO80oxlhp1,2.15186082,22,INO80oxlhp1_22
INO80oxlhp1,2.276687401,22,INO80oxlhp1_22
INO80oxlhp1,2.153788043,22,INO80oxlhp1_22
INO80oxlhp1,2.161736601,22,INO80oxlhp1_22
INO80oxlhp1,2.42901026,22,INO80oxlhp1_22
INO80oxlhp1,2.065633049,22,INO80oxlhp1_22
INO80oxlhp1,2.14672156,22,INO80oxlhp1_22
INO80oxlhp1,2.43526138,22,INO80oxlhp1_22
INO80oxlhp1,2.469037192,22,INO80oxlhp1_22
INO80oxlhp1,1.892130508,22,INO80oxlhp1_22
INO80oxlhp1,2.362965823,22,INO80oxlhp1_22
wt,7.385546119,28,wt_28
wt,7.029117042,28,wt_28
wt,6.703389053,28,wt_28
wt,7.256457089,28,wt_28
wt,7.614623466,28,wt_28
wt,7.118230592,28,wt_28
wt,6.911886371,28,wt_28
wt,7.339695476,28,wt_28
